dir,spd
340,3
320,1
340,1
290,1
50,1
320,1
320,1
340,1
340,1
340,1
320,1
50,1
20,1
340,1
340,1
320,1
340,1
340,2
360,3
320,1
320,2
320,1
360,1
20,1
360,2
20,1
340,2
140,1
50,1
140,1
360,1
290,1
320,1
340,1
320,1
290,1
290,3
320,3
290,1
290,1
320,3
290,4
290,1
290,1
290,1
250,2
320,3
320,1
320,5
290,4
250,1
320,4
180,1
340,1
320,2
320,1
340,1
320,4
320,1
70,2
360,2
340,1
320,2
20,1
20,2
70,1
20,2
290,1
50,2
50,1
20,1
320,1
340,2
320,3
320,4
20,1
320,1
340,1
50,1
20,1
20,3
20,3
340,2
290,1
340,2
340,1
20,2
50,1
50,2
50,2
20,2
20,3
50,2
340,2
290,2
340,2
20,3
50,3
50,4
50,3
50,3
360,1
340,3
340,3
340,2
340,3
20,5
320,1
320,2
340,1
340,1
340,2
340,1
340,2
320,1
320,1
340,1
340,1
340,1
360,1
50,1
20,2
20,1
320,1
50,2
50,3
320,1
20,5
320,1
340,1
320,1
360,1
50,3
20,3
20,3
360,1
20,1
340,1
340,1
20,1
140,1
340,1
340,1
340,1
290,1
320,1
270,1
290,1
320,2
320,3
290,1
290,1
290,4
320,1
320,1
320,4
320,2
290,2
320,1
290,3
290,4
250,1
320,4
290,4
290,2
320,3
320,3
320,6
290,5
270,1
320,1
50,1
320,2
340,1
360,1
320,3
340,1
320,4
360,1
320,2
270,1
340,1
320,1
110,1
340,1
20,1
340,1
340,1
20,1
50,2
340,1
20,1
70,3
50,1
20,1
20,1
340,2
340,1
340,2
290,5
290,2
320,2
50,2
70,2
70,3
20,3
20,4
340,3
340,2
340,2
340,1
20,1
340,1
70,2
50,1
340,1
50,1
50,3
70,2
340,2
340,1
340,2
20,2
50,2
50,2
50,3
50,3
360,2
20,2
340,2
340,4
340,2
340,4
20,7
340,1
340,1
340,1
340,1
360,1
360,1
340,2
340,1
340,1
340,1
20,1
20,3
20,3
50,3
20,2
20,2
20,1
50,1
20,2
20,3
360,2
50,1
110,1
90,3
50,4
20,3
20,2
70,1
140,2
140,2
140,1
140,1
140,1
140,1
70,1
140,1
140,1
160,1
90,2
20,2
70,3
20,3
20,1
140,1
160,2
160,2
160,1
160,1
320,1
20,3
20,3
20,1
160,1
140,1
160,1
140,1
140,1
20,3
20,3
320,1
20,3
20,3
20,1
110,1
140,1
110,1
20,3
20,1
110,1
70,1
20,3
20,3
70,1
110,1
140,1
110,1
20,1
110,1
140,1
140,1
110,1
20,3
20,2
20,1
110,1
140,1
140,1
140,1
140,1
20,3
50,3
70,1
50,2
140,1
140,1
140,1
140,1
110,1
140,1
140,1
160,2
160,1
160,1
140,1
140,1
140,1
110,1
160,1
140,1
140,1
140,1
140,2
110,1
110,1
110,1
110,1
160,1
140,1
160,1
140,1
110,1
140,1
160,1
230,2
320,2
290,2
110,1
250,1
290,2
290,4
270,3
270,2
270,1
140,1
140,1
140,1
160,1
140,1
160,1
140,1
270,5
290,3
